Date,City,Cause of Death
3/27/08,Urbania -  Italy,Suicide
5/23/08,Rome -  Italy,Veh. Accid-Train
6/19/08,Rome -  Italy,Suicide
7/14/08,Cortona -  Italy,Suicide
10/23/08,Venice -  Italy,Drowning
10/26/08,Naples -  Italy,Other Accident
12/20/08,Venice -  Italy,Suicide
1/15/09,San Marino -  Italy,Suicide
3/26/09,Canazei -  Trento -  Italy,Other Accident
7/11/09,Turi - Bari -  Italy,Veh. Accid-Auto
7/11/09,Turi - Bari -  Italy,Veh. Accid-Auto
10/10/09,Rome -  Italy,Veh. Accid-Pedestr.
10/17/09,L' Aquila -  Italy,Suicide
10/29/09,Salerno -  Italy,Veh. Accid-Auto
11/4/09,Rome -  Italy,Other Accident
11/10/09,Fornelli - Isernia -  Italy,Veh. Accid-Auto
11/13/09,Rome -  Italy,Other Accident
11/17/09,Naples -  Italy,Other Accident
12/1/09,Florence -  Italy,Suicide
4/1/10,Rome -  Italy,Other Accident
4/14/10,Rome -  Italy,Suicide
4/16/10,Rome -  Italy,Suicide
5/16/10,Salerno -  Italy,Drowning
6/1/10,Foggia -  Italy,Veh. Accid-Auto
6/30/10,Orte -  Viterbo -  Italy,Veh. Accid-Auto
7/20/10,Bolzano -  Italy,Other Accident
7/22/10,Dro -  Trento -  Italy,Other Accident
8/19/10,Cesenatico -  Italy,Other Accident
9/29/10,Vieste -  Foggia -  Italy,Air Accident
9/29/10,Vieste -  Foggia -  Italy,Air Accident
10/4/10,Paratico -  Brescia -  Italy,Suicide
10/24/10,Siena -  Italy,Other Accident
10/30/10,La Spezia -  Italy,Drowning
12/5/10,Rome -  Italy,Veh. Accid-Train
12/24/10,Brindisi -  Italy,Suicide
2/18/11,Florence -  Italy,Drowning
2/19/11,Florence -  Italy,Other Accident
4/26/11,Pisa -  Italy,Other Accident
5/27/11,Naples -  Italy,Homicide
8/13/11,Vernazza -  La Spezia -  Italy,Other Accident
10/2/11,San Giovanni Valdarno -  Arezzo -  Italy,Veh. Accid-Pedestr.
1/13/12,Isola Del Giglio -  Grosseto -  Italy,Maritime Accident
1/13/12,Isola Del Giglio -  Grosseto -  Italy,Maritime Accident
3/25/12,Monopoli -  Bari -  Italy,Vehicle Accident - Motorcycle
4/6/12,Somma Lombardo -  Varese -  Italy,Vehicle Accident - Auto
10/19/12,Palermo -  Italy,Vehicle Accident - Auto
11/21/12,Siena -  Italy,Other Accident
11/22/12,Mestre -  Italy,Veh. Accid-Other
12/8/12,Bolzano -  Italy,Other Accident
1/16/13,Florence -  Italy,Drug-Related
2/15/13,Rome -  Italy,Veh. Accid-Pedestr.
3/13/13,Santa Margherita Ligure -  Genoa -  Italy,Drowning
5/24/13,Calabro -  Cosenza -  Italy,Veh. Accid-Pedestr.
6/11/13,Rome -  Italy,Other Accident
7/28/13,Lecce -  Italy,Drowning
8/1/13,Florence -  Italy,Suicide
8/12/13,Rome -  Italy,Suicide
9/1/13,Sorrento -  Italy,Other Accident
9/6/13,Rapolano -  Italy,Veh. Accid-Motorcy.
9/12/13,Longarone -  Italy,Other Accident
2/20/14,Rome,Veh. Accid-Train
3/11/14,Cesena,Suicide
7/10/14,Rome,Suicide
9/27/14,Piedimonte Matese - Caserta,Veh. Accid-Auto
10/1/14,Pieve Di Bono - TN,Veh. Accid-Auto
12/3/14,Rome,Other Accident
1/23/15,Aosta,Natural Disaster
5/12/15,Perugia,Suicide
6/12/15,Rome,Drowning
9/6/15,Naples,Other Accident
9/12/15,Terni,Veh. Accid-Auto
10/30/15,Vercelli,Air Accident
1/9/16,Florence,Homicide
3/17/16,Cotignola,Veh. Accid-Auto
5/18/16,Viterbo,Suicide
5/22/16,Florence,Veh. Accid-Motorcy.
6/13/16,Pienza,Other Accident
6/23/16,Trento,Other Accident
7/4/16,Rome,Homicide
9/9/16,Udine -  Friuli-Venezia Giulia,Other Accident
12/18/16,Venice -  Veneto,Other Accident
12/18/16,Venice -  Veneto,Other Accident
1/14/17,Bologna,Other Accident
2/5/17,Naples,Suicide
2/18/17,Pisa,Veh. Accid-Auto
5/22/17,Cesena,Veh. Accid-Other
6/24/17,Caserta,Suicide
7/22/17,Florence,Suicide
7/29/17,Florence,Veh. Accid-Motorcy.
8/2/17,Siena,Veh. Accid-Motorcy.
8/19/17,Rome,Other Accident
9/6/17,Montecatini-Terme,Veh. Accid-Train
9/20/17,Treviso,Suicide
10/28/17,Salerno,Other Accident
9/17/18,Radda In Chianti -  Siena,Other Accident
9/24/18,Monforte D'Alba -  Cuneo,Suicide
11/16/18,Rome,Other Accident
3/11/19,Noventa Padovana -  Italy,Veh. Accid-Motorcy.
4/4/19,Pisa -  Italy,Veh. Accid-Auto
6/19/19,Fermo -  Italy,Drowning
